sail 3 mars; shortest distance: 86687910.4073702|sail x|sail y|sail z|time|yaw|sail Vx|sail Vy|sail Vz|distance x|distance y|distance z|abs distance
51|-148089290.76001716|20357224.7325597|8858029.957169538|905579.722555232|0.6|-5.520335113781758|-27.224311281751184|-11.804416475442075|309620274.5856816|112237347.37947075|47608048.09368971|332758865.8842675
52|-148186473.81106314|19873653.08968396|8648353.911750076|923336.1877033738|0.6|-5.42587285535865|-27.242743112219973|-11.81242859596071|309443979.1912526|113047906.90821767|47975102.99614234|332921936.828344
53|-148281979.1133711|19389756.957652472|8438536.811326472|941092.6528515156|0.6|-5.331362117566157|-27.260860098665354|-11.820304197484495|309265328.5532241|113858234.01594687|48342061.83153553|333085118.0111291
54|-148375805.8197246|18905541.928045873|8228581.080457551|958849.1179996574|0.6|-5.236804409859276|-27.278662129069218|-11.8280432311288|309084323.31641626|114668322.03296643|48708921.640472665|333248408.9162329
55|-148467953.10981122|18421013.594394173|8018489.144552979|976605.5831477992|0.6|-5.14220124259585|-27.296149099006723|-11.835645651301565|308900964.15428853|115478164.29143244|49075679.46440106|333411809.0267061
56|-148558420.1902538|17936177.55204647|7808263.429816759|994362.048295941|0.6|-5.047554126981419|-27.313320911663187|-11.843111415710618|308715251.7689572|116287754.12547883|49442332.34566873|333575317.82507235
57|-148647206.29368111|17451039.39778583|7597906.363080053|1012118.5134440828|0.6|-4.952864574827672|-27.3301774774273|-11.850440485187333|308527186.8902535|117097084.87160228|49808877.32769181|333738934.7925796
58|-148734310.68126106|16965604.73036303|7387420.372033136|1029874.9785922247|0.6|-4.858134098982979|-27.346718715011924|-11.857632824172565|308336770.27824354|117906149.86812808|50175311.454722695|333902659.4112755
59|-148819732.63761562|16479879.149008479|7176807.884579083|1047631.4437403665|0.6|-4.763364212284099|-27.362944549213644|-11.864688399745319|308144002.71813023|118714942.45669782|50541631.77249662|334066491.1598809
60|-148903471.47645205|15993868.254788196|6966071.329422912|1065387.9088885083|0.6|-4.668556428588129|-27.378854913400534|-11.871607182701325|307948885.02587175|119523455.98091298|50907835.327642575|334230429.5183866
61|-148985526.5383837|15507577.649886936|6755213.135760283|1083144.37403665|0.6|-4.573712262288302|-27.394449748553843|-11.878389147137586|307751418.0459889|120331683.78705123|51273919.167994805|334394473.9662873
62|-149065897.19095844|15021012.937477166|6544235.733220681|1100900.8391847918|0.6|-4.47883322825829|-27.409729003283655|-11.885034270459167|307551602.65158117|121139619.22419703|51639880.3426497|334558623.98261786
63|-149144582.828686|14534179.721587818|6333141.55181051|1118657.3043329336|0.6|-4.3839208417963444|-27.424692633844117|-11.89154253338582|307349439.74434066|121947255.64437233|52005715.90202279|334722879.04598916
64|-149221582.8730642|14047083.606972743|6121933.0218560565|1136413.7694810755|0.6|-4.2889766185692055|-27.439340604148217|-11.897913919958402|307144930.2545656|122754586.40266745|52371422.89790588|334887238.6346234
65|-149296896.7726044|13559730.198978897|5910612.573946329|1154170.2346292173|0.6|-4.194002074555851|-27.453672885782147|-11.904148417545112|306938075.1411731|123561604.85737225|52736998.38352428|335051702.22639024
66|-149370524.00285584|13072125.103414284|5699182.638875804|1171926.6997773591|0.6|-4.098998725991026|-27.467689458019205|-11.91024601684753|306728875.3917103|124368304.3701076|53102439.41359402|335216269.2988416
