target: mars|target x|target y|target z|time
262|14811759.055272885|-196838975.58120224|-90657413.9297929|4654053.6836093655
263|15263598.635677006|-196772171.97568694|-90638986.5239759|4671817.247287264
264|15715371.496134534|-196704536.6029278|-90620175.81222177|4689580.810965163
265|16167075.686721073|-196636069.33645913|-90600981.68381253|4707344.37464306
266|16618709.255913844|-196566770.05382955|-90581404.02982832|4725107.938320959
267|17070270.250601236|-196496638.6366105|-90561442.74315159|4742871.501998858
268|17521756.71609447|-196425674.9704043|-90541097.718471|4760635.065676756
269|17973166.69613655|-196353878.94485244|-90520368.85228565|4778398.629354654
270|18424498.23291397|-196281250.45364383|-90499256.04290898|4796162.1930325525
271|18875749.367066525|-196207789.3945229|-90477759.19047292|4813925.756710451
272|19326918.13769822|-196133495.66929784|-90455878.1969318|4831689.320388349
273|19778002.58238711|-196058369.18384883|-90433612.96606655|4849452.884066247
274|20229000.737197097|-195982409.84813598|-90410963.40348855|4867216.447744146
275|20679910.636688057|-195905617.5762075|-90387929.41664371|4884980.011422045
276|21130730.31392602|-195827992.28620794|-90364510.91481647|4902743.575099942
277|21581457.8004951|-195749533.90038604|-90340707.80913378|4920507.138777841
278|22032091.12650776|-195670242.34510285|-90316520.01256907|4938270.7024557395
279|22482628.320615165|-195590117.5508399|-90291947.43994626|4956034.266133637
280|22933067.41001941|-195509159.45220682|-90266990.00794366|4973797.829811536
281|23383406.420483027|-195427367.98794982|-90241647.63509798|4991561.393489434
282|23833643.376341317|-195344743.10095918|-90215920.24180827|5009324.957167333
283|24283776.300512698|-195261284.73827747|-90189807.75033979|5027088.520845231
284|24733803.214510195|-195176992.85110724|-90163310.08482805|5044852.084523129
285|25183722.138451897|-195091867.39481923|-90136427.1712826|5062615.648201028
286|25633531.09107328|-195005908.32895982|-90109158.93759108|5080379.211878926
287|26083228.089737933|-194919115.61725911|-90081505.31352292|5098142.775556824
288|26532811.150448333|-194831489.22763878|-90053466.23073345|5115906.339234723
289|26982278.287858315|-194743029.13221967|-90025041.62276764|5133669.902912621
290|27431627.51528395|-194653735.3073296|-89996231.42506397|5151433.466590519
291|27880856.844714448|-194563607.7335113|-89967035.57495832|5169197.030268418
292|28329964.286824785|-194472646.3955299|-89937454.01168786|5186960.593946316
293|28778947.85098672|-194380851.28238055|-89907486.67639478|5204724.157624214
294|29227805.54527983|-194288222.38729647|-89877133.5121302|5222487.721302113
295|29676535.376504302|-194194759.70775613|-89846394.46385798|5240251.284980011
296|30125135.350192074|-194100463.24549106|-89815269.47845842|5258014.84865791
297|30573603.47061804|-194005333.0064935|-89783758.50473227|5275778.412335807
298|31021937.74081294|-193909369.0010239|-89751861.49340425|5293541.976013706
299|31470136.162574694|-193812571.24361825|-89719578.39712703|5311305.539691605
300|31918196.736479707|-193714939.75309595|-89686909.1704849|5329069.103369502
301|32366117.461895935|-193616474.55256695|-89653853.76999752|5346832.667047401
302|32813896.33699433|-193517175.66943932|-89620412.15412365|5364596.2307253
303|33261531.358760327|-193417043.13542682|-89586584.28326495|5382359.794403198
304|33709020.52300702|-193316076.98655602|-89552370.11976959|5400123.358081096
305|34156361.824386746|-193214277.26317373|-89517769.62793602|5417886.921758994
306|34603553.25640273|-193111644.00995454|-89482782.77401665|5435650.485436893
307|35050592.81142242|-193008177.2759079|-89447409.52622154|5453414.049114791
308|35497478.480689|-192903877.1143854|-89411649.85472202|5471177.612792689
309|35944208.254334085|-192798743.5830881|-89375503.73165439|5488941.176470588
310|36390780.12138939|-192692776.74407387|-89338971.13112357|5506704.740148487
311|36837192.069800384|-192585976.66376418|-89302052.0292067|5524468.303826384
312|37283442.08643733|-192478343.41295174|-89264746.40395674|5542231.867504283
313|37729528.157109044|-192369877.06680724|-89227054.23540616|5559995.431182181
314|38175448.26657493|-192260577.7048866|-89188975.50557041|5577758.994860079
315|38621200.39855699|-192150445.41113815|-89150510.19845167|5595522.558537978
316|39066782.535753645|-192039480.27390945|-89111658.30004221|5613286.122215876
317|39512192.659851804|-191927682.38595432|-89072419.7983281|5631049.685893775
318|39957428.75153912|-191815051.84444007|-89032794.6832927|5648813.249571673
319|40402488.79051784|-191701588.7509541|-88992782.9469202|5666576.813249571
320|40847370.75551693|-191587293.21151096|-88952384.58319908|5684340.37692747
321|41292072.624305315|-191472165.3365592|-88911599.58812569|5702103.9406053675
322|41736592.373704076|-191356205.24098843|-88870427.95970772|5719867.504283266
323|42180927.979600705|-191239413.04413566|-88828869.69796759|5737631.067961165
